ticker,section_type,chunk_id,total_chunks,text_preview,text_length,chunk_size,overlap_size,filing_url,extraction_date
AAPL,business,0,3,"Item 1. Business Company Background The Company designs, manufactures and markets smartphones, personal computers, tablets, wearables and accessories, and sells a variety of related services. The Comp...",7921,8000,500,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/aapl-20240928.htm,2025-09-14T02:48:02.433977
AAPL,business,1,3,"ns within their products, or collaborate to offer integrated solutions that are more competitive than those they currently offer. Supply of Components Although most components essential to the Company...",7949,8000,500,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/aapl-20240928.htm,2025-09-14T02:48:02.433977
AAPL,business,2,3,"safety and security of its team members, visitors and customers through its global security team. Apple Inc. | 2024 Form 10-K | 4 Available Information The Company&#8217;s Annual Reports on Form 10-K,...",1335,8000,500,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/aapl-20240928.htm,2025-09-14T02:48:02.433977
AAPL,risk_factors,0,10,"Item 1A. Risk Factors The Company&#8217;s business, reputation, results of operations, financial condition and stock price can be affected by a number of factors, whether currently known or unknown, i...",7837,8000,500,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/aapl-20240928.htm,2025-09-14T02:48:04.260978
AAPL,risk_factors,1,10,"pany&#8217;s costs, and negatively impact consumer spending and demand in affected areas. The Company&#8217;s operations are also subject to the risks of industrial accidents at its suppliers and cont...",7807,8000,500,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/aapl-20240928.htm,2025-09-14T02:48:04.260978
AAPL,risk_factors,2,10,"erings and may produce lower revenues and lower profit margins, which can materially adversely impact the Company&#8217;s business, results of operations and financial condition. There can be no assur...",7983,8000,500,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/aapl-20240928.htm,2025-09-14T02:48:04.260978
AAPL,risk_factors,3,10," a result, from time to time the Company&#8217;s services have not performed as anticipated and may not meet customer expectations. The introduction of new and complex technologies, such as artificial...",7876,8000,500,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/aapl-20240928.htm,2025-09-14T02:48:04.260978
AAPL,risk_factors,4,10,"thin an application. From time to time, the Company has made changes to its products and services, including taking actions in response to litigation, competition, market conditions and legal and regu...",7823,8000,500,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/aapl-20240928.htm,2025-09-14T02:48:04.260978
AAPL,risk_factors,5,10,"aterially adversely affect the Company&#8217;s business, reputation, results of operations and financial condition. Losses or unauthorized access to or releases of confidential information, including ...",7872,8000,500,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/aapl-20240928.htm,2025-09-14T02:48:04.260978
AAPL,risk_factors,6,10,"nst an indemnified third party. The number of claims, legal proceedings and government investigations involving the Company, and the alleged magnitude of such claims, proceedings and government invest...",7525,8000,500,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/aapl-20240928.htm,2025-09-14T02:48:04.260978
AAPL,risk_factors,7,10,"e environmental, social and governance considerations and implementation of the Company&#8217;s announced goals and initiatives involves risks and uncertainties, requires investments, and depends in p...",7948,8000,500,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/aapl-20240928.htm,2025-09-14T02:48:04.260978
AAPL,risk_factors,8,10,"rnmental authorities regarding the Company&#8217;s compliance with these obligations. If the Company fails to adequately comply with these rules and requirements, or if health data or financial data i...",7857,8000,500,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/aapl-20240928.htm,2025-09-14T02:48:04.260978
AAPL,risk_factors,9,10,edit and collectibility risk on its trade receivables is higher in certain international markets and its ability to mitigate such risks may be limited. The Company also has unsecured vendor non-trade ...,4299,8000,500,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/aapl-20240928.htm,2025-09-14T02:48:04.260978
MSFT,business,0,7,ITEM 1. B USINESS GENERAL Microsoft is a technology company committed to making digital technology and artificial intelligence (&#8220;AI&#8221;) available broadly and doing so responsibly. Our missio...,7888,8000,500,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm,2025-09-14T02:48:07.659519
MSFT,business,1,7,"ation on our operating segments and geographic and product information is contained in Note 18 &#8211; Segment Information and Geographic Data of the Notes to Financial Statements (Part II, Item 8 of ...",7851,8000,500,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm,2025-09-14T02:48:07.659519
MSFT,business,2,7,"ication services, AI, Internet of Things, cognitive services, and machine learning. Azure enables customers to devote more resources to development and use of applications that benefit their organizat...",7920,8000,500,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm,2025-09-14T02:48:07.659519
MSFT,business,3,7," designed to help organizations, students, and consumers be more productive. Growth in Devices is dependent on total PC shipments, the ability to attract new customers, our product roadmap, and expand...",7955,8000,500,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm,2025-09-14T02:48:07.659519
MSFT,business,4,7,"option of our products and services. We make significant investments in research and development for new and existing products, services, and technologies, including tools and platforms spanning digit...",7984,8000,500,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm,2025-09-14T02:48:07.659519
MSFT,business,5,7,e licenses of products and services instead of having to acquire separate licenses through retail channels. These volume licensing programs have varying programmatic requirements and benefits to best ...,7939,8000,500,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm,2025-09-14T02:48:07.659519
MSFT,business,6,7,"creasing authority. Ms. Hogan was appointed Executive Vice President, Office of Strategy and Transformation in March 2025. She previously served as Executive Vice President and Chief Human Resources O...",4675,8000,500,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm,2025-09-14T02:48:07.659519
MSFT,risk_factors,0,10,"ITEM 1A. RIS K FACTORS Our operations and financial results are subject to various risks and uncertainties, including those described below, that could adversely affect our business, operations, finan...",7999,8000,500,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm,2025-09-14T02:48:09.496970
MSFT,risk_factors,1,10,"I services, reducing operating margins. Whether we succeed in cloud-based and AI services depends on our execution in several areas, including: &#8226; Continuing to bring to market compelling cloud-b...",7801,8000,500,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm,2025-09-14T02:48:09.496970
MSFT,risk_factors,2,10,"ties or intentionally designed processes in our or third-party hardware, software, or other infrastructure to attack our products and services or gain access to our networks and datacenters; using soc...",7968,8000,500,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm,2025-09-14T02:48:09.496970
MSFT,risk_factors,3,10,ses in our development processes can result in vulnerabilities in our products. Open source software can also contain vulnerabilities that may make our products susceptible to cyberattacks as we incre...,7915,8000,500,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm,2025-09-14T02:48:09.496970
